Timestamp,Mode,FPS,Contrast_Gain,Visibility_Score
01:01:36,AI MODE: CLEAR (Pass-Through),22.3,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),54.44,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),6.71,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),53.29,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),53.85,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),6.85,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),60.92,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),60.31,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),6.54,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),62.09,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),20.04,0.0,100.0
01:01:36,AI MODE: CLEAR (Pass-Through),6.48,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),60.05,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),59.51,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),7.52,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),61.04,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),62.63,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),7.49,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),60.18,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),59.45,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),6.5,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),57.15,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),62.58,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),7.29,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),59.79,0.0,100.0
01:01:37,AI MODE: CLEAR (Pass-Through),62.39,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),7.21,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),59.72,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),64.63,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),7.54,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),23.17,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),65.59,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),7.53,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),66.32,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),66.1,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),7.72,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),65.63,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),61.83,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),7.78,0.0,100.0
